Field Path,Field Name,Data Type,Required,Description,Example Value,Used In APIs,Notes
message.order.beckn:orderItems[].beckn:orderedItem,Ordered Item,String,Yes,Reference to catalog item ID,IND*ecopower-charging*cs-01*IN*ECO*BTM*01*CCS2*A*CCS2-A,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_track, on_update, select, status, track, update",Must match beckn:id in catalog item
message.order.beckn:orderItems[].beckn:quantity,Quantity,Object,Yes,Quantity details,{unitText: Kilowatt Hour unitCode: KWH unitQuantity: 2.5},"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, select",Amount to purchase
message.order.beckn:orderItems[].beckn:quantity.unitText,Unit Text,String,Yes,Human-readable unit name,Kilowatt Hour,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, select",Display name for unit
message.order.beckn:orderItems[].beckn:quantity.unitCode,Unit Code,String,Yes,Unit of measurement,KWH,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, select",UN/CEFACT codes
message.order.beckn:orderItems[].beckn:quantity.unitQuantity,Unit Quantity,Number,Yes,Quantity amount,2.5,"cancel, confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, select",Numeric value (e.g. 2.5 kWh)
message.order.beckn:orderItems[].beckn:acceptedOffer,Accepted Offer,Object,Yes,Full offer object selected by buyer,{@type: beckn:Offer beckn:id: offer-ccs2-60kw-kwh...},"on_select, select",Full offer object echoed from catalog
message.order.beckn:orderItems[].beckn:acceptedOffer.\@context,Offer Context,URL,Yes,JSON-LD context,https://raw.githubusercontent.com/.../core/v2/context.jsonld,"on_select, select",Schema reference
message.order.beckn:orderItems[].beckn:acceptedOffer.\@type,Offer Type,String,Yes,JSON-LD type,beckn:Offer,"on_select, select",Always beckn:Offer
message.order.beckn:orderItems[].beckn:acceptedOffer.beckn:id,Offer ID,String,Yes,Unique offer identifier,offer-ccs2-60kw-kwh,"on_select, select",References beckn:offers[].beckn:id in catalog
message.order.beckn:orderItems[].beckn:acceptedOffer.beckn:descriptor,Offer Descriptor,Object,Yes,Offer description,{schema:name: Per-kWh Tariff - CCS2 60kW},"on_select, select",Human-readable offer info
message.order.beckn:orderItems[].beckn:acceptedOffer.beckn:items,Offer Items,Array[String],Yes,Items this offer applies to,[IND*ecopower-charging*cs-01*...],"on_select, select",Item ID references
message.order.beckn:orderItems[].beckn:acceptedOffer.beckn:provider,Offer Provider,String,Yes,Provider ID for this offer,ecopower-charging,"on_select, select",References provider ID
message.order.beckn:orderItems[].beckn:acceptedOffer.beckn:price,Offer Price,Object,Yes,Price from the accepted offer,{currency: INR value: 45.0 applicableQuantity: {...}},"on_select, select",Price echoed from catalog for the accepted offer
message.order.beckn:orderItems[].beckn:price,Item Price,Object,Yes,Computed price for this order item,{currency: INR value: 45.0 applicableQuantity: {...}},"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status",Price as confirmed by BPP; echoes offer price
message.order.beckn:orderItems[].beckn:price.currency,Currency,String,Yes,Currency code,INR,"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status",ISO 4217 currency code
message.order.beckn:orderItems[].beckn:price.value,Item Price Value,Number,Yes,Unit price,45.0,"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status",Price per unit
message.order.beckn:orderItems[].beckn:price.applicableQuantity,Applicable Quantity,Object,Yes,Quantity this price applies to,{unitText: Kilowatt Hour unitCode: KWH unitQuantity: 1},"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status",Unit definition for item pricing
message.order.beckn:orderValue,Order Value,Object,Yes,Total order pricing,{currency: INR value: 143.95 components: [...]},"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, status, update",Order cost breakdown
message.order.beckn:orderValue.currency,Currency,String,Yes,Currency code,INR,"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, status, update",ISO 4217 code
message.order.beckn:orderValue.value,Total Value,Number,Yes,Total amount,143.95,"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, status, update",Final price (all components summed)
message.order.beckn:orderValue.components,Price Components,Array[Object],No,Itemized price breakdown,[{type: UNIT value: 112.5...}],"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, status, update",Detailed cost breakdown
message.order.beckn:orderValue.components[].type,Component Type,String,Yes,Type of price component,"UNIT, SURCHARGE, DISCOUNT, FEE","confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, status, update",Cost category
message.order.beckn:orderValue.components[].value,Component Value,Number,Yes,Amount for this component,112.5,"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, status, update",Positive for costs; negative for discounts
message.order.beckn:orderValue.components[].currency,Component Currency,String,Yes,Currency code,INR,"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, status, update",ISO 4217 currency code
message.order.beckn:orderValue.components[].description,Component Description,String,Yes,Human-readable description,Base charging session cost (45 INR/kWh × 2.5 kWh),"confirm, init, on_cancel, on_confirm, on_init, on_select, on_status, on_update, status, update",Explains the component
message.order.beckn:orderAttributes,Order Attributes,Object,Yes,EV charging session-level order attributes,{@type: ChargingSession buyerFinderFee: {...} preferences: {...}},"on_select, select",ChargingSession schema extension for order-level attributes
message.order.beckn:orderAttributes.\@context,Context,URL,Yes,ChargingSession schema context,https://raw.githubusercontent.com/.../EvChargingSession/v1/context.jsonld,"on_select, select",Schema reference for EvChargingSession
message.order.beckn:orderAttributes.\@type,Type,String,Yes,Type identifier,ChargingSession,"on_select, select",Always ChargingSession
message.order.beckn:orderAttributes.buyerFinderFee,Buyer Finder Fee,Object,Yes,BAP commission structure,{feeType: PERCENTAGE feeValue: 2.5},"on_select, select",Fee charged by BAP for discovery services
message.order.beckn:orderAttributes.buyerFinderFee.feeType,Fee Type,String,Yes,How the fee is calculated,"PERCENTAGE, FLAT","on_select, select",PERCENTAGE or flat amount
message.order.beckn:orderAttributes.buyerFinderFee.feeValue,Fee Value,Number,Yes,Fee amount or percentage,2.5,"on_select, select",2.5 = 2.5% if feeType is PERCENTAGE
message.order.beckn:orderAttributes.preferences,Preferences,Object,No,Buyer's preferred charging time window,{startTime: 2026-01-04T08:00:00Z endTime: 2026-01-04T20:00:00Z},"on_select, select",Preferred charging window (not a booking guarantee)
message.order.beckn:orderAttributes.preferences.startTime,Preferred Start Time,DateTime,Yes,Preferred session start time,2026-01-04T08:00:00Z,"on_select, select",ISO 8601 format
message.order.beckn:orderAttributes.preferences.endTime,Preferred End Time,DateTime,Yes,Preferred session end time,2026-01-04T20:00:00Z,"on_select, select",ISO 8601 format
message.order.beckn:payment,Payment,Object,Yes,Payment information,{@type: beckn:Payment...},"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",Payment details
message.order.beckn:payment.\@context,Payment Context,URL,Yes,JSON-LD context for payment,https://raw.githubusercontent.com/.../core/v2/context.jsonld,"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",Schema reference
message.order.beckn:payment.\@type,Payment Type,String,Yes,JSON-LD type,beckn:Payment,"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",Always beckn:Payment
message.order.beckn:payment.beckn:id,Payment ID,String,No,Unique payment transaction ID,payment-123e4567-e89b-12d3-a456-426614174000,"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",BAP-generated payment identifier
message.order.beckn:payment.beckn:amount,Amount,Object,Yes,Payment amount,{currency: INR value: 143.95},"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",Amount to be paid
message.order.beckn:payment.beckn:amount.currency,Currency,String,Yes,Currency code,INR,"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",ISO 4217 currency code
message.order.beckn:payment.beckn:amount.value,Amount Value,Number,Yes,Amount in currency,143.95,"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",Should match beckn:orderValue.value
message.order.beckn:payment.beckn:beneficiary,Beneficiary,String,Yes,Who receives the payment,"BAP, BPP","confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",BAP in BAP-bound init/on_init (BAP collects); BPP in BPP-bound init/on_init
message.order.beckn:payment.beckn:paymentStatus,Payment Status,String,Yes,Current payment status,"INITIATED, PENDING, PAID, FAILED, REFUNDED","confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",Payment lifecycle state
message.order.beckn:payment.beckn:paymentURL,Payment URL,URL,No,Link to payment gateway,https://payments.bluechargenet-aggregator.io/pay?...,"confirm, on_cancel, on_confirm, on_init, on_status, on_update, status, update",URL for buyer to complete payment; provided by BPP in on_init
message.order.beckn:payment.beckn:txnRef,Transaction Reference,String,No,Payment transaction reference,TXN-123456789,"confirm, on_cancel, on_confirm, on_init, on_status, on_update, status, update",Payment gateway transaction reference
message.order.beckn:payment.beckn:acceptedPaymentMethod,Accepted Payment Methods,Array[String],No,Payment methods accepted by BPP,"[BANK_TRANSFER, UPI, WALLET]",on_init,Supported payment methods for this transaction
message.order.beckn:payment.beckn:paymentAttributes,Payment Attributes,Object,Yes,UBC-specific payment/settlement details,{@type: UBCPaymentAttributes settlementAccounts: [...]},"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",UBC extension for settlement account details
message.order.beckn:payment.beckn:paymentAttributes.\@context,Context,URL,Yes,UBCPaymentAttributes schema context,https://raw.githubusercontent.com/bhim/ubc-tsd/main/beckn-schemas/UBCExtensions/v1/context.jsonld,"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",Schema reference for UBC payment extensions
message.order.beckn:payment.beckn:paymentAttributes.\@type,Type,String,Yes,Type identifier,UBCPaymentAttributes,"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",Always UBCPaymentAttributes
message.order.beckn:payment.beckn:paymentAttributes.upiTransactionId,UPI Transaction ID,String,No,UPI payment transaction reference,UPI123456789012,"confirm, init, on_cancel, on_confirm, on_init, on_status, on_update, status, update",UPI transaction ref once payment is initiated from buyer side
message.order.beckn:payment.beckn:paymentAttributes.settlementAccounts,Settlement Accounts,Array[Object],Yes,Bank/UPI accounts for settlement,[{beneficiaryId accountHolderName...}],"init, on_init",List of accounts for settlement; BAP-bound init has only BAP account; BPP on_init has both BAP and BPP accounts
message.order.beckn:payment.beckn:paymentAttributes.settlementAccounts[].beneficiaryId,Beneficiary ID,String,Yes,ID of account owner,example-bap.com,"init, on_init",Domain ID of the BAP or BPP receiving settlement
message.order.beckn:payment.beckn:paymentAttributes.settlementAccounts[].accountHolderName,Account Holder Name,String,Yes,Legal name of account holder,Example BAP Solutions Pvt Ltd,"init, on_init",Bank registered name
message.order.beckn:payment.beckn:paymentAttributes.settlementAccounts[].accountNumber,Account Number,String,Yes,Bank account number,9876543210123,"init, on_init",Bank account number for NEFT/IMPS settlement
message.order.beckn:payment.beckn:paymentAttributes.settlementAccounts[].ifscCode,IFSC Code,String,Yes,Bank branch IFSC code,HDFC0009876,"init, on_init",Indian bank branch identifier
message.order.beckn:payment.beckn:paymentAttributes.settlementAccounts[].bankName,Bank Name,String,Yes,Name of bank,HDFC Bank,"init, on_init",Bank name for display
message.order.beckn:payment.beckn:paymentAttributes.settlementAccounts[].vpa,VPA,String,No,UPI Virtual Payment Address,example-bap@paytm,"init, on_init",UPI VPA for UPI-based settlement
message.ratings,Ratings,Array[Object],Yes,Array of rating inputs,[{@type: beckn:RatingInput...}],rating,User rating submissions; array allows rating multiple aspects (fulfillment AND item) in one call
message.ratings[].\@context,Context,URL,Yes,RatingInput context,https://raw.githubusercontent.com/.../core/v2/context.jsonld,rating,Schema definition reference
message.ratings[].\@type,Type,String,Yes,Type identifier,beckn:RatingInput,rating,Always beckn:RatingInput
message.ratings[].id,Reference ID,String,Yes,What is being rated,"fulfillment-001, IND*ecopower-charging*cs-01*...",rating,Fulfillment ID when category=FULFILLMENT; Item ID when category=ITEM
message.ratings[].ratingValue,Rating Value,Number,Yes,Rating score,4,rating,Usually 1-5 scale
message.ratings[].bestRating,Best Rating,Number,Yes,Maximum possible rating,5,rating,Highest rating value
message.ratings[].worstRating,Worst Rating,Number,Yes,Minimum possible rating,1,rating,Lowest rating value
message.ratings[].category,Rating Category,String,Yes,Category being rated,"FULFILLMENT, ITEM, PROVIDER, ORDER",rating,What aspect to rate; multiple entries allowed in ratings array
message.ratings[].feedback,Feedback,Object,No,User feedback details,{comments tags: [...]},rating,Structured feedback
message.ratings[].feedback.comments,Comments,String,No,User review text,Excellent charging experience!,rating,Free-text feedback
message.ratings[].feedback.tags,Tags,Array[String],No,Feedback tags,"[fast-charging, clean-station, short-cable, poor-display]",rating,Predefined feedback labels
message.received,Received,Boolean,Yes,Whether rating was received,true,on_rating,Acknowledgement flag; always true on successful on_rating
message.feedbackForm,Feedback Form,Object,No,Optional feedback form for extended feedback collection,{@type: beckn:Form url mime_type submission_id},on_rating,Extended feedback form provided by BPP
message.feedbackForm.\@context,Feedback Form Context,URL,No,JSON-LD context for Form,https://raw.githubusercontent.com/.../core/v2/context.jsonld,on_rating,Schema reference
message.feedbackForm.\@type,Feedback Form Type,String,No,JSON-LD type,beckn:Form,on_rating,Always beckn:Form
message.feedbackForm.url,Form URL,URL,Yes,Feedback form link,https://example-bpp.com/feedback/portal,on_rating,Where to submit extended feedback
message.feedbackForm.mime_type,MIME Type,String,No,Form content type,application/xml,on_rating,Format of feedback form
message.feedbackForm.submission_id,Submission ID,String,No,Feedback submission reference,feedback-123e4567-e89b-12d3-a456-426614174000,on_rating,Unique submission identifier
message.support,Support Request (DEPRECATED),Object,No,Deprecated support structure (use message.support with SupportInfo),{beckn:ref_id beckn:ref_type...},"on_support, support",Old flat structure replaced by refId/refType/support/feedback pattern
message.support.beckn:ref_id,Reference ID,String,Yes,Entity needing support,order-12345,support,Order/fulfillment/item ID
message.support.beckn:ref_type,Reference Type,String,Yes,Type of entity,"ORDER, FULFILLMENT, ITEM, PROVIDER",support,What needs support
message.support.beckn:issue,Issue,String,No,Problem description,Payment not processing,support,Issue details
message.supportInfo,Support Information,Object,Yes,Support contact details,{beckn:phone beckn:email...},on_support,How to get help
message.supportInfo.beckn:phone,Support Phone,String,No,Support phone number,1800-123-4567,on_support,Helpline number
message.supportInfo.beckn:email,Support Email,String,No,Support email,support@example.com,on_support,Support email address
message.supportInfo.beckn:url,Support URL,URL,No,Support portal,https://help.example.com,on_support,Help center link
message.supportInfo.beckn:supportTicketURL,Ticket URL,URL,No,Create ticket link,https://support.example.com/create,on_support,Ticket creation page
message.cancellationRequest,Cancellation Request,Object,Yes,Cancellation details,{beckn:reason beckn:reasonCode...},cancel,Cancel request info
message.cancellationRequest.beckn:reason,Reason,String,No,Cancellation reason text,User changed plans,cancel,Descriptive reason
message.cancellationRequest.beckn:reasonCode,Reason Code,String,Yes,Standardized reason code,"USER_CANCELLED, NO_SHOW, TECHNICAL_ISSUE",cancel,Reason category
message.cancellationRequest.beckn:requestedBy,Requested By,String,Yes,Who requested cancellation,"BUYER, PROVIDER",cancel,Initiating party
message.cancellationTerms,Cancellation Terms,Object,Yes,Cancellation policy,{beckn:refundAmount beckn:cancellationFee...},on_cancel,Refund details
message.cancellationTerms.beckn:refundAmount,Refund Amount,Number,No,Amount to refund,45.00,on_cancel,Refundable amount
message.cancellationTerms.beckn:cancellationFee,Cancellation Fee,Number,No,Fee charged,10.00,on_cancel,Cancellation penalty
message.cancellationTerms.beckn:refundPolicy,Refund Policy,String,No,Refund policy details,Full refund if cancelled 1hr before,on_cancel,Policy explanation
beckn:deliveryAttributes.chargingTelemetry,Charging Telemetry,Array[Object],No,Real-time charging session metrics,[{eventTime metrics: [...]}],"on_track, on_status",Time-series telemetry data during charging
chargingTelemetry[].eventTime,Event Time,DateTime,Yes,Timestamp of telemetry reading,2025-01-27T17:00:00Z,"on_track, on_status",ISO 8601 format
chargingTelemetry[].metrics,Metrics,Array[Object],Yes,Array of metric readings,[{name value unitCode}],"on_track, on_status",Charging session measurements
chargingTelemetry[].metrics[].name,Metric Name,String,Yes,Type of measurement,"STATE_OF_CHARGE, POWER, ENERGY, VOLTAGE, CURRENT","on_track, on_status",Telemetry metric identifier
chargingTelemetry[].metrics[].value,Metric Value,Number,Yes,Measured value,62.5,"on_track, on_status",Numeric measurement
chargingTelemetry[].metrics[].unitCode,Unit Code,String,Yes,Unit of measurement,"PERCENTAGE, KWH, KW, VLT, AMP","on_track, on_status",UN/CEFACT unit codes
message.results,Publish Results,Array[Object],Yes,Catalog publish results,[{catalog_id status...}],on_catalog_publish,Indexing results
message.results[].catalog_id,Catalog ID,String,Yes,Published catalog identifier,catalog-ev-charging-001,on_catalog_publish,Reference to catalog
message.results[].status,Status,String,Yes,Publish status,"ACCEPTED, REJECTED",on_catalog_publish,Indexing outcome
message.results[].item_count,Item Count,Integer,No,Number of items indexed,42,on_catalog_publish,Total indexed items
message.results[].warnings,Warnings,Array[Object],No,Non-fatal issues,[{code message}],on_catalog_publish,Indexing warnings
message.results[].warnings[].code,Warning Code,String,Yes,Warning type,NON_NORMALIZED_BRAND,on_catalog_publish,Standard warning code
message.results[].warnings[].message,Warning Message,String,Yes,Warning description,Some brand values were normalized,on_catalog_publish,Human-readable warning
message.results[].error,Error,Object,No,Rejection error details,{code message paths},on_catalog_publish,Why catalog was rejected
message.results[].error.code,Error Code,String,Yes,Error code,INVALID_ITEM,on_catalog_publish,Standard error code
message.results[].error.message,Error Message,String,Yes,Error description,Invalid item payload at index 3,on_catalog_publish,Human-readable error
message.results[].error.paths,Error Paths,String,No,Path to invalid data,catalogs[1].items[3],on_catalog_publish,JSONPath to error location
message.order.beckn:payment.beckn:paidAt,Paid At,DateTime,No,Timestamp when payment was completed,2025-12-19T10:05:00Z,"confirm, on_cancel, on_confirm, on_status, on_update, status, update",Populated once payment is COMPLETED
message.order.beckn:fulfillment,Fulfillment,Object,Yes,Fulfillment details for the order,{@type: beckn:Fulfillment...},"on_confirm, on_status, on_track, on_update, status, update",Added by BPP from on_confirm onward to communicate session delivery details
message.order.beckn:fulfillment.\@context,Fulfillment Context,URL,Yes,JSON-LD context for fulfillment,https://raw.githubusercontent.com/.../core/v2/context.jsonld,"on_confirm, on_status, on_track, on_update, status, update",Schema reference
message.order.beckn:fulfillment.\@type,Fulfillment Type,String,Yes,JSON-LD type,beckn:Fulfillment,"on_confirm, on_status, on_track, on_update, status, update",Always beckn:Fulfillment
message.order.beckn:fulfillment.beckn:id,Fulfillment ID,String,Yes,Unique fulfillment identifier,fulfillment-001,"on_confirm, on_status, on_track, on_update, status, update",Reference ID for this fulfillment
message.order.beckn:fulfillment.beckn:mode,Fulfillment Mode,String,Yes,Mode of fulfillment,RESERVATION,"on_confirm, on_status, on_track, on_update, status, update",Always RESERVATION for EV charging sessions
message.order.beckn:fulfillment.trackingAction,Tracking Action,Object,No,Tracking info (present in on_track),{@type: beckn:TrackAction target: {...}},on_track,Provided by BPP in on_track response
message.order.beckn:fulfillment.trackingAction.\@type,Tracking Action Type,String,Yes,JSON-LD type,beckn:TrackAction,on_track,Always beckn:TrackAction
message.order.beckn:fulfillment.trackingAction.target,Tracking Target,Object,Yes,Link to session tracking page,{@type: schema:EntryPoint url: ...},on_track,Where to access live tracking
message.order.beckn:fulfillment.trackingAction.target.\@type,Target Type,String,Yes,JSON-LD type of target,schema:EntryPoint,on_track,Always schema:EntryPoint
message.order.beckn:fulfillment.trackingAction.target.url,Tracking URL,URL,Yes,URL to track the charging session,https://track.bluechargenet-aggregator.io/session/SESSION-9876543210,on_track,Direct link to live session data or tracking page
message.order.beckn:fulfillment.beckn:deliveryAttributes,Delivery Attributes,Object,Yes,EV charging session-specific delivery details,{@type: ChargingSession sessionStatus: PENDING...},"on_confirm, on_status, on_track, on_update, status, update",ChargingSession schema extension for fulfillment delivery details
message.order.beckn:fulfillment.beckn:deliveryAttributes.\@context,Context,URL,Yes,ChargingSession schema context,https://raw.githubusercontent.com/.../EvChargingSession/v1/context.jsonld,"on_confirm, on_status, on_track, on_update, status, update",Schema reference for EvChargingSession on fulfillment
message.order.beckn:fulfillment.beckn:deliveryAttributes.\@type,Type,String,Yes,Type identifier,ChargingSession,"on_confirm, on_status, on_track, on_update, status, update",Always ChargingSession
message.order.beckn:fulfillment.beckn:deliveryAttributes.sessionStatus,Session Status,String,Yes,Current status of the charging session,"PENDING, ACTIVE, COMPLETED, INTERRUPTED, STOP","on_confirm, on_status, on_track, on_update, status, update",PENDING=confirmed/waiting; ACTIVE=charging in progress; STOP=stop requested; COMPLETED=done; INTERRUPTED=unexpectedly stopped
message.order.beckn:fulfillment.beckn:deliveryAttributes.connectorType,Connector Type,String,No,Connector type for this session,CCS2,"on_confirm, on_status, on_update, status, update",Echoed from catalog item; present in early session states
message.order.beckn:fulfillment.beckn:deliveryAttributes.maxPowerKW,Max Power (kW),Number,No,Max power for this session in kW,50,"on_confirm, on_status, on_update, status, update",Echoed from catalog; present in early session states
message.order.beckn:fulfillment.beckn:deliveryAttributes.connectorStatus,Connector Status,String,No,Physical connector plug-in status,PREPARING,on_status,"Indicates physical plug state: PREPARING, CHARGING, FINISHING, AVAILABLE"
message.order.beckn:fulfillment.beckn:deliveryAttributes.chargingTelemetry,Charging Telemetry,Array[Object],No,Real-time session telemetry data,[{eventTime metrics: [...]}],on_track,Time-series charging metrics; only present in on_track response
message.order.beckn:fulfillment.beckn:deliveryAttributes.chargingTelemetry[].eventTime,Event Time,DateTime,Yes,Timestamp of telemetry reading,2025-01-27T17:00:00Z,on_track,ISO 8601 format
message.order.beckn:fulfillment.beckn:deliveryAttributes.chargingTelemetry[].metrics,Metrics,Array[Object],Yes,Array of metric readings at this event time,[{name value unitCode}],on_track,Charging session measurements at a point in time
message.order.beckn:fulfillment.beckn:deliveryAttributes.chargingTelemetry[].metrics[].name,Metric Name,String,Yes,Type of measurement,"STATE_OF_CHARGE, POWER, ENERGY, VOLTAGE, CURRENT",on_track,SOC=battery %; POWER=charging rate; ENERGY=delivered kWh; VOLTAGE=volts; CURRENT=amps
message.order.beckn:fulfillment.beckn:deliveryAttributes.chargingTelemetry[].metrics[].value,Metric Value,Number,Yes,Measured value,62.5,on_track,Numeric measurement value
message.order.beckn:fulfillment.beckn:deliveryAttributes.chargingTelemetry[].metrics[].unitCode,Unit Code,String,Yes,Unit of measurement,"PERCENTAGE, KWH, KW, VLT, AMP",on_track,UN/CEFACT unit codes matching metric name
message.refId,Reference ID,String,Yes,ID of the entity being supported,"order-ev-charging-001, IND*ecopower-charging*cs-01*...",support,Order ID or Item ID being referenced for support
message.refType,Reference Type,String,Yes,Type of entity being referenced,"ORDER, ITEM, FULFILLMENT",support,What refId refers to: ORDER for billing/session issues; ITEM for hardware/station issues
message.support,Support Info,Object,Yes,Support contact information provided by BAP (in support) or BPP (in on_support),{@type: beckn:SupportInfo name phone email...},"on_support, support",Contains contact details for the support channel
message.support.\@context,Support Context,URL,Yes,JSON-LD context for SupportInfo,https://raw.githubusercontent.com/.../core/v2/context.jsonld,"on_support, support",Schema reference
message.support.\@type,Support Type,String,Yes,JSON-LD type,beckn:SupportInfo,"on_support, support",Always beckn:SupportInfo
message.support.name,Support Name,String,No,Name of the person or team,Ravi Kumar,"on_support, support",Buyer name in support request; BPP team name in on_support (e.g. BlueCharge Support Team)
message.support.phone,Support Phone,String,No,Phone number for support,+91-9876543210,"on_support, support",Buyer's phone in support; BPP helpline in on_support
message.support.email,Support Email,String,No,Email address for support,ravi.kumar@example.com,"on_support, support",Buyer's email in support; BPP support email in on_support
message.support.url,Support URL,URL,No,URL to support ticket or portal,https://support.bluechargenet-aggregator.io/ticket/SUP-20250730-001,on_support,Link to the support ticket created by BPP
message.support.hours,Support Hours,String,No,Operating hours for support,Mon–Sun: 6:00 PM - 10:00 PM IST,"on_support, support",When support is available
message.support.channels,Support Channels,Array[String],No,Communication channels for support,"[PHONE, WHATSAPP, EMAIL, WEB, CHAT]","on_support, support","Available channels: PHONE, WHATSAPP, EMAIL, WEB, CHAT"
message.feedback,Support Feedback,Object,Yes,UBC extension for support feedback and status,{@type: SupportFeedback comments: ... supportStatus: OPEN},"on_support, support",Carries support lifecycle status and optional comments/tags
message.feedback.\@context,Feedback Context,URL,Yes,SupportFeedback context,https://raw.githubusercontent.com/bhim/ubc-tsd/main/beckn-schemas/UBCExtensions/v1/context.jsonld,"on_support, support",Schema reference for UBC SupportFeedback extension
message.feedback.\@type,Feedback Type,String,Yes,Type identifier,SupportFeedback,"on_support, support",Always SupportFeedback
message.feedback.comments,Feedback Comments,String,No,Detailed description of the issue or resolution,Charging session stopped unexpectedly at 40% battery...,"on_support, support",Free-text description from buyer in support; resolution details in on_support
message.feedback.tags,Feedback Tags,Array[String],No,Predefined issue tags,"[charging-interrupted, billing-dispute, charger-malfunction]",support,Issue categorization tags; helps route support ticket
message.feedback.supportStatus,Support Status,String,Yes,Current lifecycle status of the support ticket,"OPEN, ACKNOWLEDGED, IN_PROGRESS, RESOLVED, CLOSED","on_support, support",BAP sends OPEN/CLOSED; BPP echoes state: ACKNOWLEDGED → IN_PROGRESS → RESOLVED
message.catalogs,Catalogs (Publish),Array[Object],Yes,Array of catalog objects being published to discovery indexer,[{@type: beckn:Catalog...}],"catalog_publish, on_discover","Same structure as on_discover catalogs; CPO pushes full catalog to discovery; contains items, offers"
message.order.beckn:payment.beckn:paymentAttributes.upiTransactionId (compact),UPI Transaction ID (compact),String,No,UPI transaction ID without settlementAccounts,UPI123456789012,"confirm, on_confirm, status, on_status, update, on_update, on_track, on_cancel",After payment collected; paymentAttributes only contains upiTransactionId (settlementAccounts no longer needed)
